STATISTIC,Statistic,TLIST(A1),Year,C02039V02469,Type of Crop,UNIT,VALUE
AQA03C1,Area under Crops,1994,1994,11,Total wheat,000 Hectares,74.1
AQA03C1,Area under Crops,1994,1994,111,Winter wheat,000 Hectares,56.2
AQA03C1,Area under Crops,1994,1994,112,Spring wheat,000 Hectares,17.9
AQA03C1,Area under Crops,1994,1994,12,Total oats,000 Hectares,20.9
AQA03C1,Area under Crops,1994,1994,121,Winter oats,000 Hectares,13.3
AQA03C1,Area under Crops,1994,1994,122,Spring oats,000 Hectares,7.6
AQA03C1,Area under Crops,1994,1994,13,Total barley,000 Hectares,169.7
AQA03C1,Area under Crops,1994,1994,131,Winter barley,000 Hectares,31.7
AQA03C1,Area under Crops,1994,1994,132,Spring barley,000 Hectares,138
AQA03C1,Area under Crops,1994,1994,2,Beans and peas,000 Hectares,5.6
AQA03C1,Area under Crops,1994,1994,3,Oilseed rape,000 Hectares,6.4
AQA03C1,Area under Crops,1994,1994,4,Potatoes,000 Hectares,21.4
AQA03C1,Area under Crops,1994,1994,5,Turnips,000 Hectares,5.6
AQA03C1,Area under Crops,1994,1994,61,Sugar beet,000 Hectares,35.4
AQA03C1,Area under Crops,1994,1994,62,Fodder beet,000 Hectares,9.8
AQA03C1,Area under Crops,1994,1994,7,Kale and field cabbage,000 Hectares,1.8
AQA03C1,Area under Crops,1995,1995,1,"Total wheat, oats and barley",000 Hectares,269.2
AQA03C1,Area under Crops,1995,1995,11,Total wheat,000 Hectares,70.7
AQA03C1,Area under Crops,1995,1995,111,Winter wheat,000 Hectares,51.8
AQA03C1,Area under Crops,1995,1995,112,Spring wheat,000 Hectares,18.9
AQA03C1,Area under Crops,1995,1995,12,Total oats,000 Hectares,19.9
AQA03C1,Area under Crops,1995,1995,121,Winter oats,000 Hectares,10.5
AQA03C1,Area under Crops,1995,1995,122,Spring oats,000 Hectares,9.4
AQA03C1,Area under Crops,1995,1995,13,Total barley,000 Hectares,178.6
AQA03C1,Area under Crops,1995,1995,131,Winter barley,000 Hectares,37.1
AQA03C1,Area under Crops,1995,1995,132,Spring barley,000 Hectares,141.4
AQA03C1,Area under Crops,1995,1995,2,Beans and peas,000 Hectares,4.8
AQA03C1,Area under Crops,1995,1995,3,Oilseed rape,000 Hectares,4.1
AQA03C1,Area under Crops,1995,1995,4,Potatoes,000 Hectares,22.4
AQA03C1,Area under Crops,1995,1995,5,Turnips,000 Hectares,5.3
AQA03C1,Area under Crops,1995,1995,61,Sugar beet,000 Hectares,35.1
AQA03C1,Area under Crops,1995,1995,62,Fodder beet,000 Hectares,8.9
AQA03C1,Area under Crops,1995,1995,7,Kale and field cabbage,000 Hectares,1.5
AQA03C1,Area under Crops,1996,1996,1,"Total wheat, oats and barley",000 Hectares,288
AQA03C1,Area under Crops,1996,1996,11,Total wheat,000 Hectares,85.7
AQA03C1,Area under Crops,1996,1996,111,Winter wheat,000 Hectares,67.2
AQA03C1,Area under Crops,1996,1996,112,Spring wheat,000 Hectares,18.5
AQA03C1,Area under Crops,1996,1996,12,Total oats,000 Hectares,20.9
AQA03C1,Area under Crops,1996,1996,121,Winter oats,000 Hectares,12.5
AQA03C1,Area under Crops,1996,1996,122,Spring oats,000 Hectares,8.4
AQA03C1,Area under Crops,1996,1996,13,Total barley,000 Hectares,181.4
AQA03C1,Area under Crops,1996,1996,131,Winter barley,000 Hectares,40.9
AQA03C1,Area under Crops,1996,1996,132,Spring barley,000 Hectares,140.5
AQA03C1,Area under Crops,1996,1996,2,Beans and peas,000 Hectares,4.8
AQA03C1,Area under Crops,1996,1996,3,Oilseed rape,000 Hectares,3.5
AQA03C1,Area under Crops,1996,1996,4,Potatoes,000 Hectares,24.3
AQA03C1,Area under Crops,1996,1996,5,Turnips,000 Hectares,5.4
AQA03C1,Area under Crops,1996,1996,61,Sugar beet,000 Hectares,32.3
AQA03C1,Area under Crops,1996,1996,62,Fodder beet,000 Hectares,9.9
AQA03C1,Area under Crops,1996,1996,7,Kale and field cabbage,000 Hectares,1.6
AQA03C1,Area under Crops,1997,1997,1,"Total wheat, oats and barley",000 Hectares,304.3
AQA03C1,Area under Crops,1997,1997,11,Total wheat,000 Hectares,93.9
AQA03C1,Area under Crops,1997,1997,111,Winter wheat,000 Hectares,70.2
AQA03C1,Area under Crops,1997,1997,112,Spring wheat,000 Hectares,23.7
AQA03C1,Area under Crops,1997,1997,12,Total oats,000 Hectares,20.6
AQA03C1,Area under Crops,1997,1997,121,Winter oats,000 Hectares,11.2
AQA03C1,Area under Crops,1997,1997,122,Spring oats,000 Hectares,9.4
AQA03C1,Area under Crops,1997,1997,13,Total barley,000 Hectares,189.8
AQA03C1,Area under Crops,1997,1997,131,Winter barley,000 Hectares,41.1
AQA03C1,Area under Crops,1997,1997,132,Spring barley,000 Hectares,148.6
AQA03C1,Area under Crops,1997,1997,2,Beans and peas,000 Hectares,4.8
AQA03C1,Area under Crops,1997,1997,3,Oilseed rape,000 Hectares,4.4
AQA03C1,Area under Crops,1997,1997,4,Potatoes,000 Hectares,18.2
AQA03C1,Area under Crops,1997,1997,5,Turnips,000 Hectares,5.2
AQA03C1,Area under Crops,1997,1997,61,Sugar beet,000 Hectares,32.3
AQA03C1,Area under Crops,1997,1997,62,Fodder beet,000 Hectares,9.1
AQA03C1,Area under Crops,1997,1997,7,Kale and field cabbage,000 Hectares,
AQA03C1,Area under Crops,1998,1998,1,"Total wheat, oats and barley",000 Hectares,294
AQA03C1,Area under Crops,1998,1998,11,Total wheat,000 Hectares,83.8
AQA03C1,Area under Crops,1998,1998,111,Winter wheat,000 Hectares,65.5
AQA03C1,Area under Crops,1998,1998,112,Spring wheat,000 Hectares,18.4
AQA03C1,Area under Crops,1998,1998,12,Total oats,000 Hectares,19.4
AQA03C1,Area under Crops,1998,1998,121,Winter oats,000 Hectares,12.1
AQA03C1,Area under Crops,1998,1998,122,Spring oats,000 Hectares,7.3
AQA03C1,Area under Crops,1998,1998,13,Total barley,000 Hectares,190.7
AQA03C1,Area under Crops,1998,1998,131,Winter barley,000 Hectares,39
AQA03C1,Area under Crops,1998,1998,132,Spring barley,000 Hectares,151.7
AQA03C1,Area under Crops,1998,1998,2,Beans and peas,000 Hectares,6.5
AQA03C1,Area under Crops,1998,1998,3,Oilseed rape,000 Hectares,5.6
AQA03C1,Area under Crops,1998,1998,4,Potatoes,000 Hectares,18.5
AQA03C1,Area under Crops,1998,1998,5,Turnips,000 Hectares,4.6
AQA03C1,Area under Crops,1998,1998,61,Sugar beet,000 Hectares,32.9
AQA03C1,Area under Crops,1998,1998,62,Fodder beet,000 Hectares,7.3
AQA03C1,Area under Crops,1998,1998,7,Kale and field cabbage,000 Hectares,
AQA03C1,Area under Crops,1999,1999,1,"Total wheat, oats and barley",000 Hectares,280.3
AQA03C1,Area under Crops,1999,1999,11,Total wheat,000 Hectares,68.1
AQA03C1,Area under Crops,1999,1999,111,Winter wheat,000 Hectares,40.6
AQA03C1,Area under Crops,1999,1999,112,Spring wheat,000 Hectares,27.4
AQA03C1,Area under Crops,1999,1999,12,Total oats,000 Hectares,20.2
AQA03C1,Area under Crops,1999,1999,121,Winter oats,000 Hectares,7.7
AQA03C1,Area under Crops,1999,1999,122,Spring oats,000 Hectares,12.5
AQA03C1,Area under Crops,1999,1999,13,Total barley,000 Hectares,192
AQA03C1,Area under Crops,1999,1999,131,Winter barley,000 Hectares,26.2
AQA03C1,Area under Crops,1999,1999,132,Spring barley,000 Hectares,165.8
AQA03C1,Area under Crops,1999,1999,2,Beans and peas,000 Hectares,4.1
AQA03C1,Area under Crops,1999,1999,3,Oilseed rape,000 Hectares,2.6
AQA03C1,Area under Crops,1999,1999,4,Potatoes,000 Hectares,17.5
AQA03C1,Area under Crops,1999,1999,5,Turnips,000 Hectares,4.2
AQA03C1,Area under Crops,1999,1999,61,Sugar beet,000 Hectares,33.8
AQA03C1,Area under Crops,1999,1999,62,Fodder beet,000 Hectares,7
AQA03C1,Area under Crops,1999,1999,7,Kale and field cabbage,000 Hectares,
AQA03C1,Area under Crops,2000,2000,1,"Total wheat, oats and barley",000 Hectares,277.1
AQA03C1,Area under Crops,2000,2000,11,Total wheat,000 Hectares,78
AQA03C1,Area under Crops,2000,2000,111,Winter wheat,000 Hectares,58.8
AQA03C1,Area under Crops,2000,2000,112,Spring wheat,000 Hectares,19.1
AQA03C1,Area under Crops,2000,2000,12,Total oats,000 Hectares,16.8
AQA03C1,Area under Crops,2000,2000,121,Winter oats,000 Hectares,9.6
AQA03C1,Area under Crops,2000,2000,122,Spring oats,000 Hectares,7.2
AQA03C1,Area under Crops,2000,2000,13,Total barley,000 Hectares,182.3
AQA03C1,Area under Crops,2000,2000,131,Winter barley,000 Hectares,24.1
AQA03C1,Area under Crops,2000,2000,132,Spring barley,000 Hectares,158.2
AQA03C1,Area under Crops,2000,2000,2,Beans and peas,000 Hectares,1.5
AQA03C1,Area under Crops,2000,2000,3,Oilseed rape,000 Hectares,2.7
AQA03C1,Area under Crops,2000,2000,4,Potatoes,000 Hectares,13.5
AQA03C1,Area under Crops,2000,2000,5,Turnips,000 Hectares,2.1
AQA03C1,Area under Crops,2000,2000,61,Sugar beet,000 Hectares,32.2
AQA03C1,Area under Crops,2000,2000,62,Fodder beet,000 Hectares,5.1
AQA03C1,Area under Crops,2000,2000,7,Kale and field cabbage,000 Hectares,
AQA03C1,Area under Crops,2001,2001,1,"Total wheat, oats and barley",000 Hectares,283.7
AQA03C1,Area under Crops,2001,2001,11,Total wheat,000 Hectares,84.9
AQA03C1,Area under Crops,2001,2001,111,Winter wheat,000 Hectares,49.9
AQA03C1,Area under Crops,2001,2001,112,Spring wheat,000 Hectares,35
AQA03C1,Area under Crops,2001,2001,12,Total oats,000 Hectares,16.8
AQA03C1,Area under Crops,2001,2001,121,Winter oats,000 Hectares,5.7
AQA03C1,Area under Crops,2001,2001,122,Spring oats,000 Hectares,11.1
AQA03C1,Area under Crops,2001,2001,13,Total barley,000 Hectares,182
AQA03C1,Area under Crops,2001,2001,131,Winter barley,000 Hectares,19.6
AQA03C1,Area under Crops,2001,2001,132,Spring barley,000 Hectares,162.4
AQA03C1,Area under Crops,2001,2001,2,Beans and peas,000 Hectares,1.9
AQA03C1,Area under Crops,2001,2001,3,Oilseed rape,000 Hectares,2.4
AQA03C1,Area under Crops,2001,2001,4,Potatoes,000 Hectares,14.3
AQA03C1,Area under Crops,2001,2001,5,Turnips,000 Hectares,1.8
AQA03C1,Area under Crops,2001,2001,61,Sugar beet,000 Hectares,31.1
AQA03C1,Area under Crops,2001,2001,62,Fodder beet,000 Hectares,4.3
AQA03C1,Area under Crops,2001,2001,7,Kale and field cabbage,000 Hectares,
AQA03C1,Area under Crops,2002,2002,1,"Total wheat, oats and barley",000 Hectares,297.5
AQA03C1,Area under Crops,2002,2002,11,Total wheat,000 Hectares,102.7
AQA03C1,Area under Crops,2002,2002,111,Winter wheat,000 Hectares,80
AQA03C1,Area under Crops,2002,2002,112,Spring wheat,000 Hectares,22.7
AQA03C1,Area under Crops,2002,2002,12,Total oats,000 Hectares,18.8
AQA03C1,Area under Crops,2002,2002,121,Winter oats,000 Hectares,11.8
AQA03C1,Area under Crops,2002,2002,122,Spring oats,000 Hectares,7
AQA03C1,Area under Crops,2002,2002,13,Total barley,000 Hectares,176
AQA03C1,Area under Crops,2002,2002,131,Winter barley,000 Hectares,23.2
AQA03C1,Area under Crops,2002,2002,132,Spring barley,000 Hectares,152.8
AQA03C1,Area under Crops,2002,2002,2,Beans and peas,000 Hectares,1.7
AQA03C1,Area under Crops,2002,2002,3,Oilseed rape,000 Hectares,2.2
AQA03C1,Area under Crops,2002,2002,4,Potatoes,000 Hectares,15.4
AQA03C1,Area under Crops,2002,2002,5,Turnips,000 Hectares,1.6
AQA03C1,Area under Crops,2002,2002,61,Sugar beet,000 Hectares,31.3
AQA03C1,Area under Crops,2002,2002,62,Fodder beet,000 Hectares,4.1
AQA03C1,Area under Crops,2002,2002,7,Kale and field cabbage,000 Hectares,
AQA03C1,Area under Crops,2003,2003,1,"Total wheat, oats and barley",000 Hectares,299.9
AQA03C1,Area under Crops,2003,2003,11,Total wheat,000 Hectares,95.7
AQA03C1,Area under Crops,2003,2003,111,Winter wheat,000 Hectares,60.6
AQA03C1,Area under Crops,2003,2003,112,Spring wheat,000 Hectares,35.2
AQA03C1,Area under Crops,2003,2003,12,Total oats,000 Hectares,21
AQA03C1,Area under Crops,2003,2003,121,Winter oats,000 Hectares,9.4
AQA03C1,Area under Crops,2003,2003,122,Spring oats,000 Hectares,11.6
AQA03C1,Area under Crops,2003,2003,13,Total barley,000 Hectares,183.1
AQA03C1,Area under Crops,2003,2003,131,Winter barley,000 Hectares,19.8
AQA03C1,Area under Crops,2003,2003,132,Spring barley,000 Hectares,163.3
AQA03C1,Area under Crops,2003,2003,2,Beans and peas,000 Hectares,2.9
AQA03C1,Area under Crops,2003,2003,3,Oilseed rape,000 Hectares,2.3
AQA03C1,Area under Crops,2003,2003,4,Potatoes,000 Hectares,14.2
AQA03C1,Area under Crops,2003,2003,5,Turnips,000 Hectares,
AQA03C1,Area under Crops,2003,2003,61,Sugar beet,000 Hectares,31.5
AQA03C1,Area under Crops,2003,2003,62,Fodder beet,000 Hectares,
AQA03C1,Area under Crops,2003,2003,7,Kale and field cabbage,000 Hectares,
AQA03C1,Area under Crops,2004,2004,1,"Total wheat, oats and barley",000 Hectares,306.4
AQA03C1,Area under Crops,2004,2004,11,Total wheat,000 Hectares,102.7
AQA03C1,Area under Crops,2004,2004,111,Winter wheat,000 Hectares,71.5
AQA03C1,Area under Crops,2004,2004,112,Spring wheat,000 Hectares,31.2
AQA03C1,Area under Crops,2004,2004,12,Total oats,000 Hectares,20
AQA03C1,Area under Crops,2004,2004,121,Winter oats,000 Hectares,12.9
AQA03C1,Area under Crops,2004,2004,122,Spring oats,000 Hectares,7
AQA03C1,Area under Crops,2004,2004,13,Total barley,000 Hectares,183.7
AQA03C1,Area under Crops,2004,2004,131,Winter barley,000 Hectares,20.5
AQA03C1,Area under Crops,2004,2004,132,Spring barley,000 Hectares,163.2
AQA03C1,Area under Crops,2004,2004,2,Beans and peas,000 Hectares,2.7
AQA03C1,Area under Crops,2004,2004,3,Oilseed rape,000 Hectares,2.2
AQA03C1,Area under Crops,2004,2004,4,Potatoes,000 Hectares,13.3
AQA03C1,Area under Crops,2004,2004,5,Turnips,000 Hectares,
AQA03C1,Area under Crops,2004,2004,61,Sugar beet,000 Hectares,31.1
AQA03C1,Area under Crops,2004,2004,62,Fodder beet,000 Hectares,
AQA03C1,Area under Crops,2004,2004,7,Kale and field cabbage,000 Hectares,
AQA03C1,Area under Crops,2005,2005,1,"Total wheat, oats and barley",000 Hectares,276.5
AQA03C1,Area under Crops,2005,2005,11,Total wheat,000 Hectares,95.2
AQA03C1,Area under Crops,2005,2005,111,Winter wheat,000 Hectares,65
AQA03C1,Area under Crops,2005,2005,112,Spring wheat,000 Hectares,30.2
AQA03C1,Area under Crops,2005,2005,12,Total oats,000 Hectares,16.8
AQA03C1,Area under Crops,2005,2005,121,Winter oats,000 Hectares,8.6
AQA03C1,Area under Crops,2005,2005,122,Spring oats,000 Hectares,8.2
AQA03C1,Area under Crops,2005,2005,13,Total barley,000 Hectares,164.4
